Vehicle,A,A_Ang_X,A_Ang_Z,S1,S1_Ang_Y,S1_Ang_Z,S2,S2_Ang_Y,S2_Ang_Z,B,B_Ang_X,B_Ang_Y,R,R_Ang_X,R_Ang_Z,BU,Mp01,Mp02,Mp03,Mp04,Mp05,Mp06,Mp07,Mp08,Mp09,Mp10,Mp11,Mp12,BIW_mass_swr,mass
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,472,27.4,11,583,8.5,4.9,681,7.8,3.2,319,25.5,11,601,2.6,6.2,149,2.8525254,2.1512379,5.3709025,4.8120744,5.0162135,4.0775986,4.9935906,5.8139084,1.6016254,5.7390211,8.394779,11.5011697,2723,1348.019802
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
